"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2020";0,1;0,44;1,85
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2021";0,1;0,45;1,94
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2022";0,12;0,55;2,3
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Bike";"Value";"The Netherlands";"2023";0,12;0,57;2,31
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2018";0,02;0,06;0,29
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2019";0,02;0,06;0,29
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2020";0,02;0,03;0,21
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2021";0,02;0,03;0,22
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2022";0,02;0,04;0,26
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Walking";"Value";"The Netherlands";"2023";0,02;0,05;0,32
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2018";0,04;0,97;1,29
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2019";0,04;0,78;1,09
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2020";0,03;0,47;0,67
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2021";0,03;0,6;0,8
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2022";0,03;0,74;1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Other";"Value";"The Netherlands";"2023";0,03;0,53;0,79
